-1,10,3.6481031e7
-1,11,211953.49
-1,12,4.800148e6
0,10,8.9292281e8
0,11,7.3039481e6
0,12,2.0412112e8
1,10,3.8201728e7
1,11,211334.03
1,12,5.0844384e6
2,10,3.1127092e7
2,11,189983.78
2,12,1.7663526e6
3,10,4.5107074e7
3,11,270269.87
3,12,371664.47
4,10,9.6846429e7
4,11,442780.05
4,12,65723.987
5,10,3.8990578e8
5,11,746414.1
5,12,1.7466461e6
6,10,8.3694438e8
6,11,1.2447088e6
6,12,7.2645941e6
7,10,3.9617514e8
7,11,2.0284777e6
7,12,1.9488645e7
8,10,3.7323032e8
8,11,3.2227102e6
8,12,4.2567598e7
9,10,4.2158841e8
9,11,4.9953443e6
9,12,8.2279246e7
10,10,5.1491438e8
10,11,7.5674879e6
10,12,1.4645557e8
